episode,total_reward,mean_loss,mean_wait,mean_q,epsilon,num_edges,num_lanes,total_lane_length
1,-248.3833,0.973383,8798.39,-5.345,1.0000,6934,8331,262213.34
2,-257.5953,1.610583,8667.25,-20.411,0.9950,6934,8331,262213.34
3,-251.8267,1.712413,8751.96,-20.618,0.9900,6934,8331,262213.34
4,-235.3868,1.299530,10702.16,-19.225,0.9851,6934,8331,262213.34
5,-269.3959,1.227056,8510.13,-19.505,0.9801,6934,8331,262213.34
6,-232.4733,1.200642,9667.40,-16.304,0.9752,6934,8331,262213.34
7,-252.4353,1.058294,8985.35,-16.036,0.9704,6934,8331,262213.34
8,-268.8331,0.991539,8394.45,-16.724,0.9655,6934,8331,262213.34
9,-279.4007,1.008803,8369.29,-17.498,0.9607,6934,8331,262213.34
10,-256.8360,1.037014,9015.01,-14.828,0.9559,6934,8331,262213.34
11,-251.5721,1.029554,8540.21,-15.979,0.9511,6934,8331,262213.34
12,-246.8689,1.018316,8158.05,-16.550,0.9464,6934,8331,262213.34
13,-256.7215,1.039871,8295.34,-16.615,0.9416,6934,8331,262213.34
14,-241.1742,1.073229,9805.12,-14.214,0.9369,6934,8331,262213.34
15,-254.9913,1.061732,7567.16,-18.058,0.9322,6934,8331,262213.34
16,-264.3102,1.050026,7712.83,-18.175,0.9276,6934,8331,262213.34
17,-266.9284,1.127078,8538.96,-17.525,0.9229,6934,8331,262213.34
18,-290.2183,1.101195,8158.66,-19.028,0.9183,6934,8331,262213.34
19,-242.7626,1.111411,8011.41,-19.209,0.9137,6934,8331,262213.34
20,-239.7344,1.062552,8958.38,-18.931,0.9092,6934,8331,262213.34
21,-220.2381,1.121021,9606.18,-15.235,0.9046,6934,8331,262213.34
22,-247.1599,1.111224,9968.38,-14.533,0.9001,6934,8331,262213.34
23,-237.6379,1.143133,8845.97,-17.032,0.8956,6934,8331,262213.34
24,-274.4057,1.258753,9753.38,-15.410,0.8911,6934,8331,262213.34
25,-248.8125,1.218094,8516.32,-17.403,0.8867,6934,8331,262213.34
26,-257.3833,1.155358,8042.01,-19.466,0.8822,6934,8331,262213.34
27,-279.0062,1.274741,8519.83,-18.212,0.8778,6934,8331,262213.34
28,-248.1216,1.086276,8370.15,-19.389,0.8734,6934,8331,262213.34
29,-255.1368,1.214044,8381.68,-18.669,0.8691,6934,8331,262213.34
30,-251.9320,1.285359,9043.00,-18.067,0.8647,6934,8331,262213.34
31,-230.3766,1.281963,10356.47,-15.658,0.8604,6934,8331,262213.34
32,-258.5406,1.152644,8647.66,-19.160,0.8561,6934,8331,262213.34
33,-251.6378,1.174710,10090.42,-16.896,0.8518,6934,8331,262213.34
34,-239.8153,1.259499,8301.06,-19.918,0.8475,6934,8331,262213.34
35,-284.8171,1.244853,8623.25,-18.726,0.8433,6934,8331,262213.34
36,-237.8748,1.248607,9445.14,-18.510,0.8391,6934,8331,262213.34
37,-263.5537,1.327072,8912.55,-18.466,0.8349,6934,8331,262213.34
38,-248.5996,1.261677,8613.40,-19.532,0.8307,6934,8331,262213.34
39,-253.3152,1.259359,8699.10,-19.638,0.8266,6934,8331,262213.34
40,-242.4868,1.188295,10016.64,-18.543,0.8224,6934,8331,262213.34
41,-263.0740,1.321853,8023.43,-20.149,0.8183,6934,8331,262213.34
42,-262.1942,1.275318,8424.30,-19.785,0.8142,6934,8331,262213.34
43,-240.0702,1.340718,8829.37,-18.210,0.8102,6934,8331,262213.34
44,-262.5377,1.376968,7674.86,-20.034,0.8061,6934,8331,262213.34
45,-256.4703,1.308586,8818.03,-19.834,0.8021,6934,8331,262213.34
46,-277.6639,1.335069,8927.83,-19.291,0.7981,6934,8331,262213.34
47,-302.3118,1.238012,10001.73,-18.243,0.7941,6934,8331,262213.34
48,-260.9014,1.337592,8497.70,-20.582,0.7901,6934,8331,262213.34
49,-254.3938,1.295585,7667.59,-20.210,0.7862,6934,8331,262213.34
50,-247.3755,1.367104,9200.90,-19.094,0.7822,6934,8331,262213.34
51,-246.4860,1.358359,8703.05,-19.677,0.7783,6934,8331,262213.34
52,-288.5400,1.355092,8161.96,-19.994,0.7744,6934,8331,262213.34
53,-240.3706,1.333431,8875.85,-18.345,0.7705,6934,8331,262213.34
54,-231.4450,1.438549,9221.89,-18.869,0.7667,6934,8331,262213.34
55,-215.6867,1.342509,10394.76,-17.439,0.7629,6934,8331,262213.34
56,-242.7866,1.347718,8899.15,-19.721,0.7590,6934,8331,262213.34
