Epoch,Loss (Reg),Loss (Cls),Spearman Corr,Accuracy,F1 Score,Model Path
1,0.0593,1.2244,0.696535,0.564,0.240409,./saved_models/ep0.ckpt
2,0.1551,0.4981,0.817512,0.698,0.504413,./saved_models/ep1.ckpt
3,0.4695,0.4404,0.857834,0.812,0.77848,./saved_models/ep2.ckpt
